City,Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Home Goals,Home Behinds,Away Goals,Away Behinds,Home Odds,Away Odds,Rain,URL
Sydney,14/05/2011,19:40,Sydney,Port Adelaide,SCG,121,59,18,13,9,5,1.12,6.12,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2011&p_c=-873151344&p_stn_num=066073
Brisbane,14/05/2011,19:10,Brisbane,Essendon,Gabba,66,102,9,12,15,12,4.43,1.2,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2011&p_c=-334797792&p_stn_num=040913
Adelaide,14/05/2011,14:40,Adelaide,Gold Coast,AAMI Stadium,130,73,20,10,9,19,1.14,5.65,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2011&p_c=-105924303&p_stn_num=023011
Melbourne,14/05/2011,14:10,North Melbourne,Melbourne,Etihad Stadium,124,83,19,10,12,11,1.81,1.95,12,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2011&p_c=-1487214643&p_stn_num=086232
Melbourne,13/05/2011,19:40,Geelong,Collingwood,MCG,65,62,8,17,9,8,2.62,1.48,9.8,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2011&p_c=-1487214643&p_stn_num=086232
Melbourne,9/05/2011,19:20,St Kilda,Carlton,Etihad Stadium,81,84,12,9,11,18,2.84,1.41,4,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2011&p_c=-1487214643&p_stn_num=086232
Melbourne,8/05/2011,14:10,Melbourne,Adelaide,MCG,149,53,22,17,8,5,1.81,1.96,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2011&p_c=-1487214643&p_stn_num=086232
Melbourne,8/05/2011,13:10,Essendon,West Coast,Etihad Stadium,106,90,16,10,12,18,1.2,4.4,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2011&p_c=-1487214643&p_stn_num=086232
Brisbane,7/05/2011,19:10,Gold Coast,Brisbane,Gabba,124,116,18,16,17,14,6.33,1.12,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2011&p_c=-334797792&p_stn_num=040913
Melbourne,7/05/2011,16:10,Richmond,Fremantle,MCG,148,99,23,10,14,15,2.2,1.64,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2011&p_c=-1487214643&p_stn_num=086232
Geelong,7/05/2011,14:10,Geelong,North Melbourne,Simonds Stadium,127,61,19,13,9,7,1.07,8.35,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2011&p_c=-1519465927&p_stn_num=087162
Canberra,7/05/2011,13:10,Western Bulldogs,Sydney,Manuka Oval,65,73,10,5,10,13,1.69,2.12,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2011&p_c=-986923182&p_stn_num=070246
Adelaide,6/05/2011,20:10,Port Adelaide,Hawthorn,AAMI Stadium,72,104,10,12,15,14,4.45,1.2,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2011&p_c=-105924303&p_stn_num=023011
Melbourne,1/05/2011,16:40,Collingwood,Western Bulldogs,MCG,105,57,15,15,8,9,1.12,6.13,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2011&p_c=-1487214643&p_stn_num=086232
